All Transactions Activity Types

Account Activity for Individual Brokerage -xxxx from Prior Year

Total:,-125305.18

Activity/Trade Date,Transaction Date,Settlement Date,Activity Type,Description,Symbol,Cusip,Quantity #,Price $,Amount $,Commission,Category,Note
12/19/25,12/19/25,12/22/25,Sold,YIELDMAX ULTRA OPTION INC UNSOLICITED TRADE,ULTY,--,-400.0,38.81,15523.93,0.0,--,--
12/19/25,12/19/25,12/22/25,Bought,GRAYSCALE ETHEREUM COVRD CALL UNSOLICITED TRADE,ETCO,--,200.0,19.178,-3835.54,0.0,--,--
12/19/25,12/19/25,12/22/25,Sold Short,CALL UPST   01/16/26    50.000,UPST,--,-1.0,3.0,299.49,0.51,--,--
12/19/25,12/19/25,12/22/25,Sold Short,CALL VB     01/16/26   260.000,VB,--,-1.0,5.4,539.49,0.51,--,--
12/19/25,12/19/25,12/22/25,Sold,UPSTART HLDGS INC UNSOLICITED TRADE,UPST,--,-1.0,48.45,48.45,0.0,--,--
12/18/25,12/18/25,12/18/25,Transfer,TRNSFR CASH TO MARGIN,--,--,,,1432.12,0.0,--,--
12/18/25,12/18/25,12/18/25,Transfer,TRNSFR CASH TO MARGIN,--,--,,,-1432.12,0.0,--,--
12/18/25,12/18/25,12/18/25,Dividend,ROUNDHILL BITCOIN CC STR ETF,YBTC,--,,,189.33,0.0,--,--
12/18/25,12/18/25,12/18/25,Dividend,YIELDMAX ULTRA OPTION INC,ULTY,--,,,1181.04,0.0,--,--
12/18/25,12/18/25,12/18/25,Dividend,YIELDMAX UNIVERSE FO IN ETFS,YMAX,--,,,61.75,0.0,--,--
12/18/25,12/18/25,12/19/25,Sold Short,CALL ULCC   01/16/26     5.000,ULCC,--,-1.0,0.5,49.49,0.51,--,--
12/18/25,12/18/25,12/19/25,Sold Short,CALL LAR    01/16/26     5.000,LAR,--,-1.0,0.45,44.49,0.51,--,--
12/18/25,12/18/25,12/19/25,Sold Short,CALL VB     01/16/26   260.000,VB,--,-1.0,5.4,539.49,0.51,--,--
12/15/25,12/15/25,12/15/25,Transfer,TRNSFR CASH TO MARGIN,--,--,,,532.58,0.0,--,--
12/15/25,12/15/25,12/15/25,Transfer,TRNSFR CASH TO MARGIN,--,--,,,-532.58,0.0,--,--
12/15/25,12/15/25,12/15/25,Dividend,GRAYSCALE ETHEREUM COVRD CALL,ETCO,--,,,532.3,0.0,--,--
12/15/25,12/15/25,12/15/25,Dividend,SCHWAB US DVD EQUITY ETF,SCHD,--,,,0.28,0.0,--,--
12/11/25,12/11/25,12/11/25,Transfer,TRNSFR CASH TO MARGIN,--,--,,,1561.22,0.0,--,--
12/11/25,12/11/25,12/11/25,Transfer,TRNSFR CASH TO MARGIN,--,--,,,-1561.22,0.0,--,--
12/11/25,12/11/25,12/11/25,Substitute Dividend,YIELDMAX ULTRA OPTION INC,ULTY,--,,,1310.64,0.0,--,--
